id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
587728948512555000,0.062911,18.260317,16.807047,16.201109,15.874684,15.715844,15.359251,0.730278,5.465712,0.726902,10.357793,1
588848900437508000,0.090175,19.746964000000002,18.47505,17.713144,17.076813,16.649849,7.186575,0.662832,2.783428,0.66346,11.193802999999999,1
588848899900637000,0.058384000000000005,18.46487,17.181808,16.63747,16.304388,16.087457999999998,9.067195,0.329279,4.089817,0.349975,10.091778999999999,1
587728949585641000,0.01202,14.966660000000001,13.821495,13.269974,12.974789999999999,12.817200999999999,29.669777000000003,0.9237559999999999,20.0434,0.71081,9.796802,1
587728949585969000,0.020649,16.112909,14.697804999999999,14.1731,13.886659,13.773695000000002,29.661165000000004,0.932001,13.734077,0.865243,9.820428,1
587728949049163000,0.143514,19.027620000000002,17.895535,17.32638,17.009970000000003,16.856316,9.890647999999999,0.680782,3.4877230000000004,0.750695,10.440516,1
588848898828075000,0.052557000000000006,18.183943,16.873583,16.309984,16.026170999999998,15.81259,14.786876000000001,0.73346,5.039681,0.7554270000000001,10.073213,1
587728948513079000,0.075236,18.463549,17.225082,16.589129999999997,16.217454999999998,15.977004,3.4552300000000002,0.6165149999999999,2.045444,0.626361,10.455494999999999,1
587728947976077000,0.092275,19.716337,17.871862,16.970751,16.493402,16.101886999999998,5.389876,0.22350100000000003,2.901298,0.280652,10.864181,1
587728947975421000,0.04902,16.393318,14.434752,13.564767000000002,13.123941,12.7981,20.414206,0.7672479999999999,11.547597999999999,0.817307,11.527272,1
587728947975487000,0.098129,18.612347,16.722486,15.760594000000001,15.363705,15.009665,2.914443,0.932998,1.86612,0.8913209999999999,11.253753999999999,0
587728950122905000,0.144016,19.530307999999998,17.481907,16.601252,16.193214,15.940263,7.807405999999999,0.8492719999999999,3.064766,0.8295239999999999,11.06832,1
588848900438229000,0.095842,18.365242000000002,17.015095000000002,16.270643,15.867397,15.562701,4.2896849999999995,0.715096,2.4526529999999998,0.657959,10.936038,1
588848900438360000,0.094817,18.460743,17.247760999999997,16.713787,16.352901,16.159678,5.210158,0.725317,2.470694,0.734033,10.473514999999999,1
587728949049557000,0.062097,19.490896,17.877782999999997,17.023966,16.565479,16.205994,3.372613,0.23051,2.0894790000000003,0.253705,10.396727,1
