objID,ra,dec,z,r,expRad_r,expAB_r,deVRad_r,deVAB_r
588015508197933331,5.30403379,-0.71431582,0.37805,18.328466,1.569601,0.641523,3.159329,0.633834
588015508733296703,1.84124913,-0.35698807,0.243834,19.757578,1.366875,0.427884,2.501837,0.360623
588015508733886602,3.1208188,-0.22235487,0.404705,18.988609,1.164816,0.674967,2.148437,0.700623
588015508734541958,4.67225407,-0.40224446,0.170197,17.710247,2.475842,0.730094,5.391265,0.720072
588015508734738589,5.11134959,-0.29263016,0.111707,17.492231,2.166677,0.581416,4.107909,0.534607
588015509271019759,3.83775774,0.14949527,0.440947,18.992125,1.016566,0.782712,1.99828,0.721007
588015510343975153,2.04027391,1.0059714,0.331331,18.587835,0.972572,0.756203,1.507113,0.758378
588015510344368213,2.82090622,1.03999139,0.156789,17.028629,2.885536,0.872538,6.468731,0.88723
588290879491080375,3.11117494,14.13340163,0.136976,17.77673,3.598873,0.840772,9.890893,0.829273
588290881102283351,4.6063689,15.35671308,0.480496,19.331287,1.28262,0.928864,2.824517,0.926462
588290881102610673,5.28197107,15.28249864,0.374568,19.199841,0.991964,0.730027,1.620099,0.709679
588290881370063008,3.09997994,15.36900507,0.11668,17.700808,3.011852,0.27807,5.961925,0.21775
587724197202231408,10.86557029,13.75054482,0.19637,17.215681,3.684127,0.540931,6.584686,0.548164
587724197739036938,10.84683557,14.18129803,0.093057,16.480844,5.530701,0.785761,17.153351,0.761596
587724197740740787,14.81053348,14.13806939,0.363551,19.075714,0.976798,0.767137,1.455489,0.752579
587724198277677217,14.93267158,14.56775466,-1.20037E-3,16.830584,20.396399,0.607025,3.798422,0.999733
587724198812975137,11.23626884,14.93411204,-1.32964E-4,17.356825,8.214198,0.670426,22.179382,0.646457
587724198813499597,12.55647258,15.00775404,0.180946,17.383259,3.592238,0.837514,8.208313,0.855239
587724199352008958,16.4066335,15.27266536,0.202559,17.613361,3.261045,0.978513,7.927947,0.92615
587724199888748629,16.0633401,15.78198709,0.089899,17.434568,2.927873,0.59652,6.372816,0.551739
587724231564460147,11.14606447,14.03377246,0.133291,17.46563,2.43686,0.705001,5.530283,0.646648
587724232101658730,12.02400511,14.42639624,0.27543,17.740345,2.34859,0.910295,4.459603,0.923092
587724232639709313,14.7643224,14.75970329,0.176924,17.061043,3.060217,0.516013,6.589836,0.482082
587724232639971455,15.35293582,14.58627677,0.379893,18.844465,1.312463,0.529507,2.458409,0.516914
587724233174941976,10.97556138,15.24450122,0.249088,17.535709,1.784393,0.829183,3.210188,0.85498
587724234249339111,12.60069379,16.11532224,0.244561,17.564425,2.593205,0.974456,5.423117,0.981093
587727177916088747,8.14929271,-11.06858624,0.371681,19.00757,1.606011,0.531106,2.891153,0.486801
587727178451845265,5.53129906,-10.69956832,0.155226,17.519867,2.484668,0.722543,5.116648,0.711868
587727178454073803,10.73710762,-10.66653957,0.134454,17.59277,4.084507,0.883376,12.321599,0.864042
587727178455056509,12.9866974,-10.68256652,0.313833,18.294153,2.205972,0.746958,4.465204,0.756022
587727178988847319,5.85950708,-10.25426633,0.240449,17.775692,1.559255,0.775627,2.956942,0.756293
587727178989502578,7.35215924,-10.23465806,0.104817,17.613628,4.691461,0.180282,10.309565,0.139632
587727178991403062,11.78659359,-10.16917635,0.189945,17.535776,1.284365,0.920227,2.481477,0.872606
587727178992255086,13.71961576,-10.28448849,0.077276,17.69866,3.866812,0.388328,9.869535,0.340357
587727179527159939,9.21645996,-9.8762436,0.348881,18.380695,1.462832,0.665936,2.349411,0.681321
587727179527356613,9.58942516,-9.84266293,0.352549,18.11278,1.505118,0.844943,2.730349,0.820902
587727179528077806,11.34892147,-9.93149947,0.422073,18.997084,1.218101,0.874149,2.232386,0.915213
587727180062523511,5.62497283,-9.55264382,0.163514,17.576868,3.220502,0.526347,7.942978,0.46593
587727180063113402,7.00483919,-9.55613997,0.286859,17.607368,1.57307,0.926114,3.391361,0.874446
587727180063768657,8.50499656,-9.52705684,0.335203,17.763905,1.818544,0.712398,3.305397,0.722446
587727180063834595,8.7708948,-9.47931931,0.529263,19.062082,2.304732,0.63363,4.245056,0.645957
587727180064489674,10.177033,-9.42544625,0.037212,17.470295,5.228784,0.725437,17.21027,0.649874
587727180064620686,10.52095465,-9.53443917,0.052889,15.174908,9.086637,0.680421,28.214449,0.674092
587727180065603776,12.7776111,-9.48336159,0.179362,17.820902,2.550684,0.298682,4.176435,0.263423
587727180066586800,15.15112287,-9.37392422,0.05998,16.86833,6.03286,0.516207,17.215403,0.458936
587727180066979903,15.97254406,-9.3711929,0.233814,17.476826,1.226034,0.825392,2.138809,0.788
587727180599263401,5.3420943,-9.10011974,0.104769,17.260183,5.161973,0.17879,11.569829,0.135305
587727180603326553,14.75020265,-8.98875861,0.199651,17.541119,1.766567,0.709726,2.983413,0.727446
587727225155616916,5.4001044,-10.84356756,0.331336,18.031071,2.237875,0.574895,4.705693,0.550659
587727225159221457,13.92854095,-10.91341847,0.413142,18.237541,1.647809,0.669961,3.864292,0.618177
587727225693143222,6.96586993,-10.57928536,0.389242,18.71241,0.820023,0.909946,1.41803,0.885544
587727225693208747,7.11957057,-10.48758877,0.295206,18.381996,1.24825,0.663243,2.357226,0.603972
587727225693536440,7.91217696,-10.55127303,0.186998,17.574659,1.532473,0.824467,2.978412,0.813506
587727225695043778,11.32772556,-10.41902584,0.319457,18.755098,1.81303,0.438067,3.388856,0.423386
