id HubbleType isElliptical
40710 - LBS
40743 - Elliptical
40765 LBS LBS
40800 LBS NotElliptical
40843 Sd-Irr NotElliptical
40871 Sd-Irr NotElliptical
40872 Sd-Irr NotElliptical
40916 Sab-Scd NotElliptical
40984 Sd-Irr NotElliptical
41006 - LBS
41007 - Elliptical
41027 Sd-Irr NotElliptical
41050 - Elliptical
41051 - Elliptical
41057 - Elliptical
41059 - Elliptical
41060 - Elliptical
41062 - Elliptical
41075 Sd-Irr NotElliptical
41135 - Elliptical
41136 - Elliptical
41144 Sab-Scd NotElliptical
41163 Sd-Irr NotElliptical
41164 Sd-Irr NotElliptical
41165 Sd-Irr NotElliptical
41172 - Elliptical
41173 Sd-Irr NotElliptical
41180 - Elliptical
41181 - Elliptical
41232 E Elliptical
41237 - Elliptical
41274 - Elliptical
41276 - Elliptical
41307 Sd-Irr NotElliptical
41319 LBS NotElliptical
41354 Sd-Irr NotElliptical
47152 - Elliptical
47203 Sd-Irr NotElliptical
47214 Sd-Irr NotElliptical
47215 Sd-Irr LBS
47217 Sd-Irr NotElliptical
47223 LBS LBS
47228 Sd-Irr NotElliptical
47243 E Elliptical
47245 Sd-Irr NotElliptical
47246 Sd-Irr NotElliptical
47251 Sab-Scd NotElliptical
47254 E Elliptical
47258 S0-Sa NotElliptical
47269 LBS NotElliptical
47276 Sd-Irr NotElliptical
47277 Sd-Irr NotElliptical
47286 Sd-Irr NotElliptical
47295 E Elliptical
47296 - Elliptical
47312 Sd-Irr NotElliptical
47342 Sab-Scd NotElliptical
47348 - Elliptical
47369 S0-Sa NotElliptical
47376 E Elliptical
47395 Sd-Irr NotElliptical
47406 Sd-Irr LBS
47447 Sd-Irr NotElliptical
47460 Sab-Scd NotElliptical
47464 Sab-Scd NotElliptical
47499 LBS NotElliptical
47509 - Elliptical
47535 Sd-Irr NotElliptical
47546 - LBS
47555 - Elliptical
47577 Sd-Irr NotElliptical
47617 LBS NotElliptical
47652 Sab-Scd NotElliptical
47657 - Elliptical
47674 E Elliptical
47686 Sab-Scd NotElliptical
47711 Sd-Irr NotElliptical
47753 Sab-Scd NotElliptical
47761 Sd-Irr NotElliptical
47765 Sd-Irr NotElliptical
47780 Sd-Irr LBS
47808 Sd-Irr NotElliptical
47832 Sd-Irr NotElliptical
47836 Sd-Irr NotElliptical
47856 Sab-Scd NotElliptical
47862 Sd-Irr NotElliptical
47939 Sab-Scd NotElliptical
47941 - Elliptical
47959 Sd-Irr NotElliptical
47966 Sd-Irr NotElliptical
48004 E Elliptical
48010 E Elliptical
48013 - Elliptical
48016 Sab-Scd NotElliptical
48026 Sd-Irr NotElliptical
48034 Sd-Irr NotElliptical
48036 Sd-Irr NotElliptical
48046 - LBS
48050 E LBS
48051 Sd-Irr NotElliptical
48053 E Elliptical
48099 S0-Sa NotElliptical
48100 Sd-Irr NotElliptical
48118 Sd-Irr NotElliptical
48121 Sd-Irr NotElliptical
48122 Sd-Irr NotElliptical
48143 Sd-Irr NotElliptical
48146 Sab-Scd NotElliptical
48164 Sd-Irr NotElliptical
48204 Sd-Irr NotElliptical
48216 - LBS
48265 LBS NotElliptical
48281 Sd-Irr NotElliptical
48312 Sd-Irr NotElliptical
48328 - Elliptical
48333 Sd-Irr NotElliptical
48377 - Elliptical
48401 LBS LBS
48406 Sd-Irr NotElliptical
48422 Sd-Irr NotElliptical
48428 - Elliptical
48432 Sab-Scd NotElliptical
48470 - Elliptical
48506 Sab-Scd NotElliptical
48515 - Elliptical
48539 Sd-Irr NotElliptical
48548 - Elliptical
48553 LBS NotElliptical
48556 - Elliptical
48576 E Elliptical
48580 - Elliptical
48587 - Elliptical
48612 - Elliptical
48666 - Elliptical
48667 Sd-Irr NotElliptical
48681 - Elliptical
48723 Sab-Scd NotElliptical
48724 E Elliptical
48734 Sd-Irr NotElliptical
48735 S0-Sa NotElliptical
48740 E Elliptical
48762 Sd-Irr NotElliptical
48804 Sd-Irr NotElliptical
48848 - Elliptical
48868 Sd-Irr NotElliptical
48956 Sd-Irr NotElliptical
48969 Sab-Scd NotElliptical
48976 LBS NotElliptical
49017 LBS LBS
49051 - Elliptical
49091 - LBS
49151 - LBS
49167 Sab-Scd NotElliptical
49173 Sd-Irr NotElliptical
49181 - LBS
49204 Sd-Irr NotElliptical
49258 Sab-Scd NotElliptical
49349 - LBS
49363 Sd-Irr NotElliptical
49524 Sd-Irr NotElliptical
49626 Sd-Irr NotElliptical
49631 Sd-Irr NotElliptical
49640 LBS NotElliptical
49664 Sab-Scd NotElliptical
49668 Sd-Irr NotElliptical
49670 Sd-Irr NotElliptical
49677 Sd-Irr NotElliptical
49692 Sab-Scd NotElliptical
49702 Sab-Scd NotElliptical
49706 Sd-Irr NotElliptical
49728 Sab-Scd NotElliptical
49730 Sab-Scd NotElliptical
49732 LBS NotElliptical
49734 S0-Sa NotElliptical
49753 Sd-Irr NotElliptical
49755 Sd-Irr NotElliptical
49761 - Elliptical
49813 Sd-Irr NotElliptical
49830 Sd-Irr NotElliptical
49840 Sd-Irr NotElliptical
49849 LBS NotElliptical
49855 Sd-Irr NotElliptical
49857 Sd-Irr NotElliptical
49886 Sd-Irr NotElliptical
49929 Sd-Irr NotElliptical
49937 - Elliptical
49941 - Elliptical
49957 Sd-Irr NotElliptical
53706 - Elliptical
53736 Sd-Irr NotElliptical
53771 LBS NotElliptical
53809 Sd-Irr NotElliptical
53813 - Elliptical
53933 Sd-Irr NotElliptical
53977 Sab-Scd NotElliptical
53995 Sd-Irr NotElliptical
53999 - Elliptical
54081 - Elliptical
54102 Sab-Scd NotElliptical
54190 - Elliptical
54197 - Elliptical
54198 Sab-Scd NotElliptical
54200 S0-Sa NotElliptical
54201 S0-Sa NotElliptical
54202 E Elliptical
54214 Sd-Irr NotElliptical
54263 - Elliptical
54270 - Elliptical
54274 - Elliptical
54296 Sd-Irr NotElliptical
54339 Sd-Irr NotElliptical
54358 Sd-Irr NotElliptical
54359 Sab-Scd NotElliptical
54381 - Elliptical
54382 LBS NotElliptical
54415 - Elliptical
54455 Sd-Irr NotElliptical
54462 - Elliptical
54500 - Elliptical
54554 LBS NotElliptical
54694 - Elliptical
54848 LBS NotElliptical
54852 - Elliptical
54863 - Elliptical
54895 Sd-Irr NotElliptical
54917 - Elliptical
54918 - Elliptical
54921 - Elliptical
54923 - Elliptical
54938 LBS NotElliptical
55009 - Elliptical
55048 - Elliptical
55097 - Elliptical
55098 - Elliptical
55100 - Elliptical
55124 Sd-Irr NotElliptical
55143 E Elliptical
55148 - Elliptical
55150 Sab-Scd NotElliptical
55160 Sd-Irr NotElliptical
55211 - Elliptical
55227 Sd-Irr NotElliptical
55250 - Elliptical
55287 Sd-Irr NotElliptical
55299 - Elliptical
55328 - Elliptical
55333 Sd-Irr NotElliptical
55346 Sd-Irr NotElliptical
55367 Sd-Irr NotElliptical
55372 Sab-Scd NotElliptical
55373 - Elliptical
55383 Sd-Irr NotElliptical
55448 Sd-Irr NotElliptical
55470 Sd-Irr NotElliptical
55530 Sd-Irr NotElliptical
55648 Sd-Irr NotElliptical
55684 S0-Sa NotElliptical
55713 - Elliptical
55771 - Elliptical
55881 Sd-Irr NotElliptical
55882 Sab-Scd NotElliptical
55905 Sd-Irr NotElliptical
55962 - LBS
55965 - Elliptical
56005 - Elliptical
56006 - Elliptical
56055 LBS NotElliptical
56060 - Elliptical
56061 Sd-Irr NotElliptical
56067 - Elliptical
56106 - Elliptical
56128 Sd-Irr NotElliptical
56140 - Elliptical
56181 E Elliptical
56183 Sab-Scd NotElliptical
56185 - Elliptical
56250 - Elliptical
56367 Sd-Irr NotElliptical
56439 Sd-Irr NotElliptical
62197 LBS NotElliptical
62213 Sd-Irr NotElliptical
62233 Sd-Irr NotElliptical
62239 E Elliptical
62241 Sd-Irr NotElliptical
62243 Sd-Irr NotElliptical
62244 E Elliptical
62254 Sd-Irr NotElliptical
62269 - Elliptical
62280 Sd-Irr NotElliptical
62281 - LBS
62312 - Elliptical
62316 Sd-Irr NotElliptical
62319 - Elliptical
62326 Sd-Irr NotElliptical
62330 Sd-Irr NotElliptical
62332 - Elliptical
62334 - Elliptical
62336 - Elliptical
62339 - Elliptical
62344 - Elliptical
62354 Sd-Irr NotElliptical
62361 - Elliptical
62364 Sd-Irr NotElliptical
62374 Sd-Irr NotElliptical
62377 - Elliptical
62381 Sd-Irr NotElliptical
62392 Sd-Irr NotElliptical
62406 Sab-Scd NotElliptical
62412 Sd-Irr NotElliptical
